Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (AIF External Dependency),Custom field (AIF Innovation Potential),Custom field (AIF Sufficiency),Custom field (AIF Value),Custom field (Acceptance Criteria),Custom field (Access to AIAPPS Platform with ability to*),Custom field (Affected services),Custom field (Audience Segment ID),Custom field (Audience Type),Custom field (BCA Started),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Benefit hypothesis),Custom field (Business Value [MM$]),Custom field (CSE FTE Engaged),Custom field (Categories | Regions),Custom field (Category),Custom field (Chance of success),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Committed),Custom field (Compass),Custom field (Concerned Jira or Confluence URLs),Custom field (Concerned users - P&G shortnames only),Custom field (DS ELT Contact),Custom field (Dependency Status),Custom field (Dependency Type),Custom field (Development),Custom field (Domain),Custom field (End date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Facebook Ad Account),Custom field (Have you read the documentation?),Custom field (Impact),Custom field (Issue color),Custom field (Key Sponsor),Custom field (Lead DS),Custom field (Locked forms),Custom field (Model Risk Officer),Custom field (NSR Jira Ticket),Custom field (Needed by),Custom field (Open forms),Custom field (Persons requiring access or project admins (P&G emails are required!)),"Custom field (Provide request details, e.g. application name:)",Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Requesting team),Custom field (Requestor),Custom field (Risk),Satisfaction rating,Custom field (Stage),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Success Metris),Custom field (Target end),Custom field (Target start),Custom field (Task progress),Custom field (Team),Custom field (Tier),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Type of Product),Custom field (Value),Custom field (What is your issue about?),Custom field ([CHART] Date of First Response),Custom field (itAccess group to map),Comment,Comment.1,Status Category,Watchers.1,Watchers Id.1,Outward issue link (Cloners),Custom field (Epic Link),Epic Link Summary,Sprint,Sprint.1,Comment.2,Parent,Parent summary,Inward issue link (Cloners),Attachment.1,Attachment.2,Attachment.3,Attachment.4,Custom field (Reviewers),Custom field (Reviewers)Id,Inward issue link (Relates),Inward issue link (Relates).1,"Custom field (Support required for Jira, Confluence or both?)",Comment.3,Comment.4,Comment.5,Labels,Inward issue link (Blocks),Inward issue link (Cloners).1,Inward issue link (Cloners).2,Inward issue link (Gantt End to Start),Inward issue link (Gantt End to Start).1,Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start).1,Outward issue link (Relates),Outward issue link (Relates).1,Outward issue link (Relates).2,Sprint.2,Sprint.3,Sprint.4,Comment.6,Comment.7,Comment.8,Comment.9,Comment.10,Comment.11,Comment.12,Fix versions,Labels.1,Attachment.5,Attachment.6,Attachment.7,Attachment.8,Custom field (AIF Internal Dependency),Inward issue link (Problem/Incident),Outward issue link (Relates).3,Outward issue link (Relates).4,Outward issue link (Relates).5
Analysis of DDAPI connectivity setup,DPOA-1957,135673,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,29/Jun/23 10:16 AM,03/Jul/23 11:09 AM,05/Jul/23 8:18 AM,,,0,Discuss with Robert about the scope of the use-case to create service endpoint connectivity from specific VNets to Storage Accounts.,,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0frzu:zzzr,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,,,To Do,,,,DPOA-1689,GCP and Azure Enhancements JAS23,FY2324_P1.2,,,115718.0,GCP and Azure Enhancements JAS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create ACR pull token and save password to KeyVault in AML Blueprint,DPOA-1950,135325,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,Done,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,26/Jun/23 1:19 PM,30/Jun/23 9:15 AM,05/Jul/23 8:18 AM,30/Jun/23 9:15 AM,,0,"Automate saving of ACR pull token password to the KeyVault:

# Create container registry token with {{_repositories_pull}} scope:
[azurerm_container_registry_token | Resources | hashicorp/azurerm | Terraform Registry|https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/container_registry_token]",,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i0fsbr:,,,,,,,,,,0.2,,,,,,,,,,,,,,,2023-06-27 10:14:21.198,,27/Jun/23 6:14 AM;5dde91bb7eb2280d03c98dd0;Feature branch [*dpoa-1898*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1898] created to implement changes in this sprint.,27/Jun/23 8:26 AM;5dde91bb7eb2280d03c98dd0;[*PR-80*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/pull/80] submitted for review and merge.,Done,Szymon Osiecki,61029d08627b560068c8a078,,DPOA-1655,Azure Enhancements AMJ23,AMJ.23.6,,,113962.0,Azure Enhancements AMJ23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement role assignments for the Service Principal in AML blueprint,DPOA-1948,135182,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,Done,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,26/Jun/23 2:52 AM,30/Jun/23 9:14 AM,05/Jul/23 8:18 AM,30/Jun/23 9:14 AM,,0,"Assign {{PG ResourceGroup Admin}} on the resource group level to the SP provided by AIP application.

We can get the {{ObjectId}} required for the assignment using:
[azuread_service_principal | Data Sources | hashicorp/azuread | Terraform Registry|https://registry.terraform.io/providers/hashicorp/azuread/latest/docs/data-sources/service_principal]",,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,,,,,Enabler,Role assignment for the SP implemented for the v4.8.1 release,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i0fsbn:,,,,,,,,,,0.2,,,,,,,,,,,,,,,2023-06-27 10:14:11.907,,"26/Jun/23 10:00 AM;61029d08627b560068c8a078;* ask Paweł Konik to put sp_client id in the: {{ds_launchpad/templates/terraform/rg-terraform.tfvars}} file,
* use the data source, by provideing above client_id as an application_id in the data source,
* add another role assignment in the {{azure/rg/security.tf}} file.
* Create new release deployment.",27/Jun/23 6:14 AM;5dde91bb7eb2280d03c98dd0;Feature branch [*dpoa-1898*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1898] created to implement changes in this sprint.,Done,Szymon Osiecki,61029d08627b560068c8a078,,DPOA-1655,Azure Enhancements AMJ23,AMJ.23.6,,"27/Jun/23 8:27 AM;5dde91bb7eb2280d03c98dd0;[*PR-80*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/pull/80] submitted for review and merge.


This PR comprises multiple features at once:

* Upgrade azurerm provider from v3.30.0 to *v3.62.0* .
* Setting *node_public_ip_enabled* parameter in *azurerm_machine_learning_compute_cluster* along with explicit dependency on AML private-endpoints.
* Updated *databricks_setup.ps1* script to assign ""CAN_MANAGE"" repo permission to Service Principal.
* Create ACR token for repo pull permission
* Assign workspace SP PG ResourceGroup Admin role under /rg/security folder(at wrapper module)",113962.0,Azure Enhancements AMJ23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,,,,AzureCloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support JAS.23.4,DPOA-1946,135130,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,23/Jun/23 10:51 AM,23/Jun/23 10:51 AM,05/Jul/23 8:18 AM,,,0,CSE Team support,,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i0fs1v:,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,,,To Do,,,DPOA-1928,DPOA-1856,Support JAS23,FY2324_P1.4,,,131907.0,Support JAS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support JAS.23.3,DPOA-1941,135125,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,23/Jun/23 10:49 AM,23/Jun/23 10:50 AM,05/Jul/23 8:18 AM,,,0,CSE Team support,,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i0fs0r:,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,,,To Do,,,DPOA-1928,DPOA-1856,Support JAS23,FY2324_P1.3,,,131907.0,Support JAS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support JAS.23.2,DPOA-1936,135120,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,23/Jun/23 10:48 AM,23/Jun/23 10:48 AM,05/Jul/23 8:18 AM,,,0,CSE Team support,,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i0frzn:,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,,,To Do,,,DPOA-1928,DPOA-1856,Support JAS23,FY2324_P1.2,,,131907.0,Support JAS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permanently delete AML workspace that is soft-deleted,DPOA-1929,134975,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,22/Jun/23 10:51 AM,04/Jul/23 7:44 AM,05/Jul/23 8:18 AM,,,0,"The +default deletion behavior+ when deleting an AML workspace is soft-delete.

On deletion of AML workspace, in order to reuse the resource name, we need to enable permanent-delete option.",,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,03/Jul/23 11:22 AM;singh.js.5;image-20230703-152147.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/24000,,,,,"On deletion of  AML workspace, it gets deleted permanently",,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fr6j:,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,2023-07-03 15:22:21.044,,22/Jun/23 10:52 AM;5fff11ae849d6401119514b6;[~accountid:5dde91bb7eb2280d03c98dd0]  is going to add description,"03/Jul/23 11:22 AM;5dde91bb7eb2280d03c98dd0;Currently, softDeleteEnabled = false in AML workspace in both subscriptions:

!image-20230703-152147.png|width=1511,height=460!",To Do,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,DPOA-1689,GCP and Azure Enhancements JAS23,FY2324_P1.1,,"04/Jul/23 3:01 AM;5dde91bb7eb2280d03c98dd0;Checking if the +default deletion behavior+ when deleting AML workspace is soft-delete.
If yes, then override above soft-delete behavior by enabling permanent deletion of AML workspace.",115718.0,GCP and Azure Enhancements JAS23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,,"04/Jul/23 6:02 AM;5dde91bb7eb2280d03c98dd0;Validated that the workspace (where softDeleteEnabled = false), on deletion, doesn’t get deleted permanently and is visible under +*Azure Machine Learning Service > Recently Deleted*+ option.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support JAS.23.1,DPOA-1928,134970,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,22/Jun/23 10:28 AM,23/Jun/23 10:52 AM,05/Jul/23 8:18 AM,,,0,CSE Team support,,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i0fr5v:,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,,,To Do,,,,DPOA-1856,Support JAS23,FY2324_P1.1,,,131907.0,Support JAS23,DPOA-1936,,,,,,,,,,,,,,,DPOA-1941,DPOA-1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change naming convention for user managed identity,DPOA-1894,133295,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,Done,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,12/Jun/23 9:03 AM,13/Jun/23 9:32 AM,13/Jun/23 5:34 AM,13/Jun/23 9:32 AM,,0,Simplify the name of user managed identity to the {{<workspace_name>-uami}}.,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i0eif6:zzr,,,,,,,,,,0.2,,,,,,,,,,,,,,,2023-06-13 08:39:12.375,,"13/Jun/23 4:39 AM;5dde91bb7eb2280d03c98dd0;[*dpoa-1894*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1894][ |https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1894]created, requested change implemented and [*PR-79*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/pull/79] submitted",13/Jun/23 4:40 AM;5dde91bb7eb2280d03c98dd0;Szymon merged [*PR-79*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/pull/79] into master branch. Task is complete.,Done,Szymon Osiecki,61029d08627b560068c8a078,,DPOA-1655,Azure Enhancements AMJ23,AMJ.23.6,,,113962.0,Azure Enhancements AMJ23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,DPOA-1891,133127,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,Done,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Andrew Bloomberg,5b756e39d521620528394596,Andrew Bloomberg,5b756e39d521620528394596,09/Jun/23 10:04 AM,30/Jun/23 9:14 AM,05/Jul/23 8:18 AM,30/Jun/23 9:14 AM,,0,CSE Rapid Response support,,Andrew Bloomberg,5b756e39d521620528394596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i0eif6:zzri,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,,,Done,,,,DPOA-1640,Support AMJ23,AMJ.23.6,,,113529.0,Support AMJ23,,,,,,Andrew Bloomberg,5b756e39d521620528394596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update compute cluster properties in the AML blueprint,DPOA-1867,132104,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,Done,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,06/Jun/23 3:38 PM,30/Jun/23 9:14 AM,05/Jul/23 8:18 AM,30/Jun/23 9:14 AM,,0,"Determine compute cluster properties for default deployments:

* use dedicated compute cluster instead of the low priority VM.
* change compute cluster tier.
* keep public IP turned on.",,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,13/Jun/23 5:42 AM;singh.js.5;image-20230613-094137.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23515,,,,,Default properties for the compute cluster determined and changed in the AML blueprint.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i0eif6:zzs,,,,,,,,,,0.6,,,,,,,,,,,,,,,2023-06-13 09:17:38.008,,13/Jun/23 5:17 AM;5dde91bb7eb2280d03c98dd0;Feature branch [*dpoa-1898*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1898] created to implement changes in this sprint.,"13/Jun/23 5:42 AM;5dde91bb7eb2280d03c98dd0;+*Estimated cost comparison:*+

LowPriority -- *$0.02*/hr per node

!image-20230613-094220.png|width=425,height=321!

Dedicated --   *$0.10*/hr per node

!image-20230613-094137.png|width=384,height=320!",Done,Szymon Osiecki,61029d08627b560068c8a078,,DPOA-1655,Azure Enhancements AMJ23,AMJ.23.6,,"13/Jun/23 5:50 AM;5dde91bb7eb2280d03c98dd0;Setting {{subnet_resource_id}} parameter of {{azurerm_machine_learning_compute_cluster}} is disabling {{node_public_ip_enabled}} parameter, hence, making it invalid to use.

!image-20230613-095023.png|width=928,height=189!",113962.0,Azure Enhancements AMJ23,,13/Jun/23 5:42 AM;singh.js.5;image-20230613-094220.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23516,13/Jun/23 5:50 AM;singh.js.5;image-20230613-095023.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23517,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,14/Jun/23 8:23 AM;5dde91bb7eb2280d03c98dd0;Checking with Alan Garcia to understand the performance impact / requirement needed for default compute-cluster VM machine tier,"20/Jun/23 3:23 AM;5dde91bb7eb2280d03c98dd0;Microsoft case [+*2306140050003160*+|https://portal.azure.com/#view/Microsoft_Azure_Support/SupportRequestDetails.ReactView/id/%2Fsubscriptions%2F27c0a03b-f477-4c6d-b9a9-608e91d2e83b%2Fproviders%2Fmicrosoft.support%2Fsupporttickets%2F2306140050003160/portalJourney~/true] is created to resolve why +*No Public IP*+ parameter is NOT set to false during creation of compute-cluster resource.
This will also resolve the problem of pipeline failure with the ManagedIdentity Authentication on *default* compute-cluster","20/Jun/23 3:24 AM;5dde91bb7eb2280d03c98dd0;Microsoft confirmed that - Defining the *_subnet_resource_id_* is not enough to create the +compute-cluster without the Public IP+. 

Awaiting feedback from Microsoft engineering team about the Terraform errors.",,,,,,,,,,,,,,,"21/Jun/23 8:16 AM;5dde91bb7eb2280d03c98dd0;Switched creation of AML compute cluster resource from *azurerm* provider to *azapi* provider - which allowed:

* Setting *No Public IP* = true
* Setting *IsolatedNetwork* = false
* Setting *VM machine tier* = LowPriority or Dedicated without deleting existing compute.","21/Jun/23 8:29 AM;5dde91bb7eb2280d03c98dd0;Execute pipeline using the *ManagedIdentity* credentials. – PENDING

Successfully executed SDK v2 pipelines with individual user credentials.",22/Jun/23 3:43 AM;5dde91bb7eb2280d03c98dd0;Successfully tested pipeline execution with *azurerm v3.61.0* along with azurerm provider of compute-cluster,22/Jun/23 8:58 AM;5dde91bb7eb2280d03c98dd0;Successfully tested all scenarios with *azurerm v3.61.0* ,27/Jun/23 6:13 AM;5dde91bb7eb2280d03c98dd0;Testing *azurerm* *v3.62.0*,27/Jun/23 8:28 AM;5dde91bb7eb2280d03c98dd0;Successfully tested with azure rm v3.62.0 (latest stable release),"27/Jun/23 8:28 AM;5dde91bb7eb2280d03c98dd0;[*PR-80*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/pull/80] submitted for review and merge.


This PR comprises multiple features at once:

* Upgrade azurerm provider from v3.30.0 to *v3.62.0* .
* Setting *node_public_ip_enabled* parameter in *azurerm_machine_learning_compute_cluster* along with explicit dependency on AML private-endpoints.
* Updated *databricks_setup.ps1* script to assign ""CAN_MANAGE"" repo permission to Service Principal.
* Create ACR token for repo pull permission
* Assign workspace SP PG ResourceGroup Admin role under /rg/security folder(at wrapper module)",,,,,,,,,,,
Automate Databricks secret scope creation during workspace provisioning,DPOA-1842,130715,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,Done,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,29/May/23 10:24 AM,12/Jun/23 10:40 AM,12/Jun/23 5:42 AM,12/Jun/23 10:03 AM,,0,"Automate Databricks secret scope creation using the Python script:

[https://github.com/procter-gamble/azure-mlops-dev/blob/develop/src/dbr_secret_scope_create.py|https://github.com/procter-gamble/azure-mlops-dev/blob/develop/src/dbr_secret_scope_create.py]

similar like it has been implemented for inference attachment:

* [https://github.com/procter-gamble/terraform-azure-machine-learning-service/blob/feat_550_terraform/main.tf#L377-L394|https://github.com/procter-gamble/terraform-azure-machine-learning-service/blob/feat_550_terraform/main.tf#L377-L394]
* [https://github.com/procter-gamble/terraform-azure-machine-learning-service/blob/feat_550_terraform/scripts/inference_attach.py|https://github.com/procter-gamble/terraform-azure-machine-learning-service/blob/feat_550_terraform/scripts/inference_attach.py]

Change [requirements.txt|https://github.com/procter-gamble/terraform-azure-machine-learning-service/blob/master/requirements.txt] to:

{noformat}azure-identity==1.13.0
databricks-cli==0.17.7{noformat}

Align secret scope creation with Databricks provisioning.

Change pipelines definition, to install requirements only when Databricks provisioning is specified:

* [https://github.com/procter-gamble/terraform-jenkins-shared-library/blob/main/terraform-azure-pipelines/terraform-infra-repo-apply-rg-no-approval.groovy#L155-L160|https://github.com/procter-gamble/terraform-jenkins-shared-library/blob/main/terraform-azure-pipelines/terraform-infra-repo-apply-rg-no-approval.groovy#L155-L160]
* [https://github.com/procter-gamble/terraform-jenkins-shared-library/blob/main/terraform-azure-pipelines/terraform-infra-repo-apply-rg.groovy#L153-L158|https://github.com/procter-gamble/terraform-jenkins-shared-library/blob/main/terraform-azure-pipelines/terraform-infra-repo-apply-rg.groovy#L153-L158]",,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,02/Jun/23 11:32 AM;singh.js.5;MicrosoftTeams-image (1).png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23239,,,,,Release feature into AML blueprint and DSL wrapper module as optional / default feature.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i0f0hj:,,,,,,,,,,1.0,,,,,,,,,,,,,,,2023-06-02 11:02:16.82,,02/Jun/23 7:02 AM;5dde91bb7eb2280d03c98dd0;Feature branch [*dpoa-1842*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1842] is created.,"02/Jun/23 11:32 AM;5dde91bb7eb2280d03c98dd0;Observations from test in terminal and through Jenkins pipeline:

* +*Terminal*+

Secret Scope was created successfully ONLY after I *launched Databricks workspace* - that added me as admin user in workspace.

!MicrosoftTeams-image.png|width=1301,height=230!



* +*Jenkins*+[ rerun pipeline|https://jaas.pg.com/ccoe-iac/job/terraform-azure-infra-CI003427367-dslaunchpad/job/dslaunchpad-rerun/1126/console]

In pipeline, +*Jenkins SP*+ is creating secret scope - that means SP +*must be added as admin/user*+ in Databricks workspace - before running secret scope creation script. Currently, it will fail with ERROR:

!MicrosoftTeams-image (1).png|width=1367,height=205!",Done,Szymon Osiecki,61029d08627b560068c8a078,,DPOA-1655,Azure Enhancements AMJ23,AMJ.23.5,,05/Jun/23 5:37 AM;5dde91bb7eb2280d03c98dd0;Successfully tested +secret scope creation+ via AML blueprint module.,113962.0,Azure Enhancements AMJ23,,02/Jun/23 11:32 AM;singh.js.5;MicrosoftTeams-image.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23240,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,05/Jun/23 6:35 AM;5dde91bb7eb2280d03c98dd0;*_Cloud-COE_* team is currently developing [*terraform-azure-service-principal*|https://github.com/procter-gamble/terraform-azure-service-principal] module - to automate creation of SPs. (*ETA -19 June*),05/Jun/23 6:38 AM;5dde91bb7eb2280d03c98dd0;Preparing script to *Add new databricks Service Principal in its workspace*.,"06/Jun/23 11:43 AM;5dde91bb7eb2280d03c98dd0;Script is ready for testing and validation.

* Create Databricks secret scope
* Add Service Principal (created through AIP) under user group in Databricks workspace
* Assign CAN_USE permission to above Service Principal",,,,,,,AFMD-524,APE-168,,,,,,,"09/Jun/23 5:59 AM;5dde91bb7eb2280d03c98dd0;Deployment testing is successful. 

Refer - [https://jaas.pg.com/ccoe-iac/job/terraform-azure-infra-CI003427367-dslaunchpad/job/dslaunchpad-sandbox-develop/598/consoleFull|https://jaas.pg.com/ccoe-iac/job/terraform-azure-infra-CI003427367-dslaunchpad/job/dslaunchpad-sandbox-develop/598/consoleFull]",12/Jun/23 4:26 AM;5dde91bb7eb2280d03c98dd0;[*PR-78*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/pull/78] submitted for Szymon’s review and merge.,,,,,,,,,,,,,,,,
